Age,Income,Credit_Score,Loan_Amount,Employment_Length,Gender,Default
56,70643.11193369149,333,28312.108091984035,37,1,0
69,102363.55980507772,387,51294.704239828265,1,1,0
46,105569.45396398683,315,56838.35556661602,1,1,0
32,160940.04164249636,720,94367.69870429309,18,0,0
60,155027.58129767227,425,27393.16010621131,4,1,0
25,102227.20482010434,307,93732.13568920457,3,1,0
78,172220.12283777885,771,80681.03263110587,27,1,0
38,40562.68494645125,767,73358.51135458284,17,0,0
56,65963.60304120227,809,78900.15664932739,39,1,0
75,169035.76343040526,701,60937.07954212564,40,0,0
36,88038.92695270755,475,25163.921035786097,30,0,0
40,196612.6805828916,666,19760.00191514542,21,1,0
28,103925.59067501037,787,86767.80214918866,10,1,0
28,162548.41213347754,317,72788.80085698748,15,1,0
41,92415.26744882695,355,22107.223993333955,3,1,0
70,96491.63343123747,334,61894.24322156575,20,0,0
53,88918.96651115303,646,45307.10166000816,40,0,0
57,149433.6116919461,331,16706.8618263463,24,0,1
41,118553.219130799,432,53653.85382635927,19,0,1
20,189880.06004630643,498,28870.390154175308,7,1,1
39,65160.25697613886,555,10528.168291599584,8,1,1
70,38101.291775019985,641,47228.87155599567,17,0,0
19,90787.06731785873,530,59420.74665726262,30,0,0
41,131008.28737641968,600,5643.7346277339,34,0,0
61,174943.8086447891,846,40807.182191688684,29,0,1
47,82315.43960245898,325,26508.530063831844,17,1,0
55,137681.6152024031,834,4034.4084800160094,18,0,0
19,83035.76258417944,773,13440.592411539075,40,0,0
77,131099.52493900247,686,14764.381723019378,23,0,0
38,179265.43046551716,584,19104.550563679142,21,0,0
50,61644.375606693626,749,80534.3795723542,13,1,1
29,92763.49557926705,619,44509.694781335784,18,0,0
75,198787.73535735437,455,15561.513234768301,28,0,0
39,176340.26508490293,770,10929.399725861036,21,0,1
78,121635.17442131635,719,30496.10541417487,29,0,0
61,112992.96653376956,412,80003.53635174078,14,0,1
42,71228.06881484258,721,37081.52494602471,20,1,0
66,113097.69698483529,584,16829.83866909987,25,0,1
44,172672.6696903905,353,41007.50197306983,35,0,0
76,143331.4123900005,624,55975.84417141869,11,0,0
80,72207.92507203759,757,3928.834180163371,6,0,0
59,56263.50578963593,564,63136.538342577136,10,1,1
45,67737.53665942924,681,40114.97454846414,38,1,0
77,50556.65625070877,512,1962.861637988244,19,1,0
33,37215.32528426887,632,67715.05049569171,34,0,0
32,95444.51139956989,309,71526.37592070216,3,1,1
79,40393.92879168819,657,63255.1390673096,1,0,0
79,50944.260390878786,502,34851.091542243805,19,1,0
64,118518.4431811075,357,53430.88055253015,19,1,1
79,49627.86926592345,793,39328.6129072101,11,1,0
68,31498.358137562514,809,70361.55128580975,16,1,0
61,77129.99300501934,522,58774.43843713518,17,0,1
72,59657.43775195415,668,9098.112268917524,39,1,0
69,112754.93383898781,717,64666.26226368074,23,1,0
74,38426.07522497767,846,69036.60301944235,7,0,1
20,155318.74178293606,402,37699.51588085524,36,1,0
54,183122.03349832495,460,87702.79231501074,40,1,0
68,153818.33131211498,499,84458.42112965131,29,1,1
24,115908.86673225097,459,18341.485866074046,19,0,1
38,174920.20792199933,435,90522.36454010099,22,0,1
26,145085.30836067133,697,44646.36477801268,36,1,0
56,21899.202041034172,691,72651.21561079504,9,1,0
35,90936.22749941055,405,81595.60368975636,32,0,0
21,173171.34189322402,353,51006.1296858993,23,0,0
42,82254.59443554847,576,40511.091997710755,35,1,0
77,26338.73123459423,410,91629.68549289474,15,0,1
31,154312.33493940902,523,23854.5017406069,27,1,0
67,164366.88865091634,374,26440.037694195304,11,0,0
75,48906.865107795544,805,36800.41108733027,19,0,0
26,116721.28943177262,313,86087.112019086,17,1,1
43,54551.97901923064,781,93940.03815709452,36,1,0
70,149462.1954279464,488,22786.703760731325,25,1,0
19,68879.08193194741,663,86523.1446154933,6,0,0
37,76918.72206139941,538,26562.09298738836,20,1,0
45,172094.75365521826,700,97093.48342823892,31,1,0
64,105738.02339724278,603,60143.38130617665,6,0,0
77,140555.8012192846,390,1701.560277290857,22,0,1
24,92427.14913004417,691,4378.860503046611,19,1,0
